Designator,Mid X,Mid Y,Rotation,Layer
C1,167.64,-174.183113,90.0,top
C10,296.926,-168.656,270.0,top
C11,296.926,-173.482,270.0,top
C12,296.926,-178.308,270.0,top
C13,206.248,-133.096,270.0,top
C14,267.97,-163.068,270.0,top
C15,267.97,-155.956,270.0,top
C16,267.97,-148.844,270.0,top
C17,285.75,-144.526,0.0,top
C18,281.178,-144.526,0.0,top
C19,290.322,-144.526,0.0,top
C2,172.974,-172.212,180.0,top
C20,282.194,-160.274,180.0,top
C21,286.766,-160.274,180.0,top
C22,291.338,-160.274,180.0,top
C23,193.548,-142.494,270.0,top
C24,200.152,-138.43,90.0,top
C25,200.152,-142.494,270.0,top
C26,193.548,-152.654,270.0,top
C27,200.152,-148.59,90.0,top
C28,200.152,-152.654,270.0,top
C29,193.548,-162.814,270.0,top
C3,177.8,-172.212,180.0,top
C30,200.152,-158.75,90.0,top
C31,200.152,-162.814,270.0,top
C32,193.548,-172.974,270.0,top
C33,200.152,-168.91,90.0,top
C34,200.152,-172.974,270.0,top
C35,232.918,-142.494,270.0,top
C36,239.522,-138.43,270.0,top
C37,232.918,-152.654,270.0,top
C38,239.522,-148.59,270.0,top
C39,232.918,-162.814,270.0,top
C4,182.626,-172.212,180.0,top
C40,239.522,-158.75,270.0,top
C41,232.918,-172.974,270.0,top
C42,239.522,-168.91,270.0,top
C43,171.45,-134.366,270.0,top
C44,182.626,-134.366,270.0,top
C45,171.45,-138.43,270.0,top
C46,171.45,-142.494,90.0,top
C47,171.45,-147.066,270.0,top
C48,171.45,-151.13,90.0,top
C49,171.45,-159.766,270.0,top
C5,296.926,-125.476,270.0,top
C50,216.916,-142.494,270.0,top
C51,223.012,-138.43,270.0,top
C52,216.916,-148.59,270.0,top
C53,216.916,-152.654,90.0,top
C54,216.916,-162.814,90.0,top
C55,216.916,-158.75,270.0,top
C56,216.916,-168.91,270.0,top
C6,296.926,-130.302,270.0,top
C7,296.926,-135.128,270.0,top
C8,296.926,-139.954,270.0,top
C9,296.926,-163.83,270.0,top
FID1,313.02,-121.4,0.0,top
FID2,313.02,-183.4,0.0,top
FID3,164.02,-128.4,0.0,top
FID4,164.02,-170.4,0.0,top
J1,304.038,-127.508,0.0,top
J2,304.038,-140.97,180.0,top
J3,304.038,-173.99,180.0,top
J4,270.2894,-169.683,0.0,top
J5,177.292,-176.53,0.0,top
J6,219.71,-132.334,0.0,top
J8,304.038,-160.05,180.0,top
J9,219.71,-178.562,180.0,top
R1,268.732,-167.132,90.0,top
R10,299.72,-174.752,270.0,top
R11,299.72,-179.578,270.0,top
R12,174.752,-174.752,180.0,top
R13,177.8,-174.752,180.0,top
R14,180.848,-174.752,0.0,top
R15,266.7,-167.132,90.0,top
R16,268.732,-158.242,180.0,top
R17,267.97,-151.892,90.0,top
R18,291.084,-125.984,180.0,top
R19,291.084,-130.81,180.0,top
R2,270.764,-167.132,90.0,top
R20,291.084,-135.636,180.0,top
R21,291.084,-140.462,180.0,top
R22,291.084,-164.338,180.0,top
R23,291.084,-169.164,180.0,top
R24,291.084,-173.99,180.0,top
R25,291.084,-178.816,180.0,top
R26,171.196,-166.37,90.0,top
R27,176.784,-166.37,90.0,top
R28,175.26,-166.37,90.0,top
R29,180.848,-166.37,90.0,top
R3,272.796,-167.132,90.0,top
R30,262.128,-166.878,180.0,top
R31,262.128,-165.354,180.0,top
R32,262.128,-163.83,180.0,top
R33,262.128,-162.306,180.0,top
R34,262.128,-159.766,180.0,top
R35,262.128,-158.242,180.0,top
R36,262.128,-156.718,180.0,top
R37,262.128,-155.194,180.0,top
R38,262.128,-152.654,180.0,top
R39,262.128,-151.13,180.0,top
R4,299.466,-128.016,270.0,top
R40,262.128,-149.606,180.0,top
R41,262.128,-148.082,180.0,top
R42,188.976,-135.382,0.0,top
R43,183.134,-144.272,270.0,top
R44,183.896,-149.098,0.0,top
R45,183.134,-162.306,270.0,top
R46,212.598,-139.446,0.0,top
R47,212.598,-149.606,0.0,top
R48,212.598,-159.766,0.0,top
R49,212.598,-169.926,0.0,top
R5,299.466,-132.842,270.0,top
R50,212.598,-173.99,0.0,top
R51,211.836,-176.276,90.0,top
R52,229.362,-139.446,0.0,top
R53,229.362,-149.606,0.0,top
R54,229.362,-159.766,0.0,top
R55,229.362,-169.926,0.0,top
R56,240.284,-165.354,0.0,top
R57,243.332,-165.354,180.0,top
R58,240.284,-175.514,0.0,top
R59,243.332,-175.514,180.0,top
R6,299.466,-137.668,270.0,top
R60,240.284,-145.034,0.0,top
R61,243.332,-145.034,180.0,top
R62,240.284,-155.194,0.0,top
R63,243.332,-155.194,180.0,top
R64,288.29,-149.606,180.0,top
R65,283.718,-149.606,180.0,top
R66,281.686,-155.194,180.0,top
R67,286.258,-155.194,180.0,top
R68,292.862,-149.606,180.0,top
R69,291.084,-155.194,180.0,top
R7,299.466,-142.494,270.0,top
R70,209.804,-135.636,180.0,top
R71,209.804,-145.034,180.0,top
R72,209.804,-155.194,180.0,top
R73,209.804,-165.354,180.0,top
R8,299.72,-165.1,270.0,top
R9,299.72,-169.926,270.0,top
U1,172.466,-169.672,180.0,top
U10,294.386,-173.99,270.0,top
U100,219.71,-152.654,0.0,top
U101,225.806,-162.814,0.0,top
U102,225.806,-172.974,0.0,top
U103,225.806,-142.494,0.0,top
U104,225.796,-138.43,0.0,top
U105,225.796,-148.59,0.0,top
U106,225.796,-158.75,0.0,top
U107,225.806,-168.91,0.0,top
U11,294.386,-178.816,270.0,top
U12,209.042,-133.096,0.0,top
U13,265.43,-163.576,270.0,top
U14,265.43,-156.464,270.0,top
U15,265.43,-149.352,270.0,top
U16,286.258,-147.066,0.0,top
U17,281.686,-147.066,0.0,top
U18,281.686,-157.734,180.0,top
U19,286.258,-157.734,180.0,top
U2,177.292,-169.672,180.0,top
U20,290.83,-147.066,0.0,top
U21,290.83,-157.734,180.0,top
U22,286.258,-169.926,0.0,top
U23,286.258,-173.99,0.0,top
U24,286.258,-178.054,0.0,top
U25,286.258,-131.572,0.0,top
U26,286.258,-135.636,0.0,top
U27,286.258,-139.7,0.0,top
U28,189.738,-138.43,0.0,top
U29,189.738,-142.494,0.0,top
U3,182.118,-169.672,180.0,top
U30,196.342,-138.43,0.0,top
U31,196.342,-142.494,0.0,top
U32,202.946,-138.43,0.0,top
U33,202.946,-142.494,0.0,top
U34,209.042,-142.494,0.0,top
U35,209.042,-138.43,0.0,top
U36,189.738,-148.59,0.0,top
U37,189.738,-152.654,0.0,top
U38,196.342,-148.59,0.0,top
U39,196.342,-152.654,0.0,top
U4,294.386,-125.984,270.0,top
U40,202.946,-148.59,0.0,top
U41,202.946,-152.654,0.0,top
U42,209.042,-152.654,0.0,top
U43,209.042,-148.59,0.0,top
U44,189.738,-158.75,0.0,top
U45,189.738,-162.814,0.0,top
U46,196.342,-158.75,0.0,top
U47,196.342,-162.814,0.0,top
U48,202.946,-158.75,0.0,top
U49,202.946,-162.814,0.0,top
U5,294.386,-130.81,270.0,top
U50,209.042,-162.814,0.0,top
U51,209.042,-158.75,0.0,top
U52,189.738,-168.91,0.0,top
U53,189.738,-172.974,0.0,top
U54,196.342,-168.91,0.0,top
U55,196.342,-172.974,0.0,top
U56,202.946,-168.91,0.0,top
U57,202.946,-172.974,0.0,top
U58,209.042,-172.974,0.0,top
U59,209.042,-168.91,0.0,top
U6,294.386,-135.636,270.0,top
U60,235.712,-138.43,0.0,top
U61,235.712,-142.494,0.0,top
U62,242.316,-142.494,0.0,top
U63,248.412,-142.494,0.0,top
U64,242.316,-138.43,0.0,top
U65,235.712,-148.59,0.0,top
U66,235.712,-152.654,0.0,top
U67,242.316,-152.654,0.0,top
U68,248.412,-152.654,0.0,top
U69,242.316,-148.59,0.0,top
U7,294.386,-140.462,270.0,top
U70,235.712,-158.75,0.0,top
U71,235.712,-162.814,0.0,top
U72,242.316,-162.814,0.0,top
U73,248.412,-162.814,0.0,top
U74,242.316,-158.75,0.0,top
U75,235.712,-168.91,0.0,top
U76,235.712,-172.974,0.0,top
U77,242.316,-172.974,0.0,top
U78,248.412,-172.974,0.0,top
U79,242.316,-168.91,0.0,top
U8,294.386,-164.338,270.0,top
U80,174.244,-159.766,0.0,top
U81,174.244,-147.066,0.0,top
U82,174.244,-151.13,0.0,top
U83,174.244,-155.702,0.0,top
U84,174.244,-134.366,0.0,top
U85,174.244,-138.43,0.0,top
U86,174.244,-142.494,0.0,top
U87,180.34,-151.13,0.0,top
U88,180.34,-155.702,0.0,top
U89,180.34,-138.43,0.0,top
U9,294.386,-169.164,270.0,top
U90,185.42,-134.366,0.0,top
U91,180.34,-142.494,0.0,top
U92,180.34,-147.066,0.0,top
U93,180.34,-159.766,0.0,top
U94,219.71,-168.91,0.0,top
U95,219.71,-158.75,0.0,top
U96,219.71,-162.814,0.0,top
U97,219.71,-172.974,0.0,top
U98,219.71,-142.494,0.0,top
U99,219.71,-148.59,0.0,top
